CODI_ENS,MUNICIPI,ANY_ELECCIO,SIGLES_CANDIDATURA,VOTS,% VOTS,REGIDORS,,
2500190004,Abella de la Conca,1979,A.V.A.C.,22,12.,1,,
2500190004,Abella de la Conca,1983,CiU,11,50,3,,
2500190004,Abella de la Conca,1983,G.I.A.,52,41.18,2,,
2500190004,Abella de la Conca,1987,AEAC,53,71.43,5,,
2500190004,Abella de la Conca,1991,CiU,54,60,5,,
2500190004,Abella de la Conca,1995,PP,55,18.42,0,,
2500190004,Abella de la Conca,1995,PSC (PSC-PSOE),56,17.1,0,,
2500190004,Abella de la Conca,1995,CIU,57,59.21,5,,
2500190004,Abella de la Conca,1999,AMI,58,46.6,1,,
2500190004,Abella de la Conca,1999,PSCPMC,59,0,0,,
2500190004,Abella de la Conca,1999,PP,60,7.77,0,,
2500190004,Abella de la Conca,1999,CIU,61,63.11,4,,
2500190004,Abella de la Conca,2003,ERC-AM,62,53.04,1,,
2500190004,Abella de la Conca,2003,IAC-PM,63,43.48,2,,
2500190004,Abella de la Conca,2003,PP,64,3.48,0,,
2500190004,Abella de la Conca,2003,CIU,65,47.83,2,,
2500190004,Abella de la Conca,2007,CIU,66,41.03,1,,
2500190004,Abella de la Conca,2007,PP,67,0.85,0,,
2500190004,Abella de la Conca,2007,IA-PM,68,40.17,3,,
2500190004,Abella de la Conca,2007,ERC-AM,69,39.32,1,,
2500190004,Abella de la Conca,2011,CiU,70,18.52,0,,
2500190004,Abella de la Conca,2011,ERC-AM,71,44.44,1,,
2500190004,Abella de la Conca,2011,PM,72,49.07,4,,
2500190004,Abella de la Conca,2015,PP,73,0,0,,
2500190004,Abella de la Conca,2015,IxAC-CP,74,33.66,1,,
2500190004,Abella de la Conca,2015,JIAB - AM,75,52.48,3,,
2500190004,Abella de la Conca,2015,CiU,76,17.82,1,,
2500190004,Abella de la Conca,2019,CxM-CP,77,35.24,1,,
2500190004,Abella de la Conca,2019,JxCAT-JUNTS,78,12.29,0,,
2500190004,Abella de la Conca,2019,ERC-AM,79,52.45,4,,
2500190004,Abella de la Conca,2019,ERC-AM,80,2,2,,
800180001,Abrera,1979,ORT,81,13.86,0,,
800180001,Abrera,1979,CiU,82,35.71,4,,
800180001,Abrera,1983,CiU,83,28.63,3,,
800180001,Abrera,1983,PSUC,84,18.85,2,,
800180001,Abrera,1983,PSC-PSOE,85,51.81,6,,
800180001,Abrera,1987,CiU,86,18.38,2,,
800180001,Abrera,1987,CiU,87,18.38,2,,
800180001,Abrera,1987,A.P.,88,2.84,0,,
800180001,Abrera,1987,C.D.S.,89,16.45,2,,
800180001,Abrera,1987,PSC-PSOE,90,48.12,6,,
800180001,Abrera,1991,PSC-PSOE,91,61.66,8,,
800180001,Abrera,1991,CiU,92,23.6,3,,
800180001,Abrera,1991,IC,93,14.1,2,,
800180001,Abrera,1995,CIU,94,18.75,2,,
800180001,Abrera,1995,PP,95,10.94,1,,
800180001,Abrera,1995,PSC (PSC-PSOE),96,57.63,9,,
800180001,Abrera,1995,IC-EV,97,11.55,1,, 
800180001,Abrera,1999,PP,98,8.94,1,,
800180001,Abrera,1999,EUiA,99,6.31,1,,
800180001,Abrera,1999,IC-V-EPM,100,6.15,0,,
800180001,Abrera,1999,PSCPMC,101,56.46,9,,
800180001,Abrera,1999,ERC-AM,32,11,1,,
800180001,Abrera,1999,CIU,103,14.82,2,,
800180001,Abrera,2003,ADA-EPM,104,18.81,3,,
800180001,Abrera,2003,CIU,105,5.84,0,,
800180001,Abrera,2003,E.U.-I.U.,106,8.2,1,,
800180001,Abrera,2003,PSC-PM,107,49.33,7,,
800180001,Abrera,2003,ERC-AM,108,6.69,1,,
800180001,Abrera,2003,PP,109,9.89,1,,
800180001,Abrera,2007,ADA-EPM,110,18.56,3,,
800180001,Abrera,2007,ESQUERRA-AM,111,6,1,,
800180001,Abrera,2007,PSC-PM,112,46.54,9,,
800180001,Abrera,2007,CIU,113,6.14,1,,
800180001,Abrera,2007,EU-IU,114,9.31,1,,
800180001,Abrera,2007,PP,115,11.89,2,,
800180001,Abrera,2011,CiU,116,12.6,2,,
800180001,Abrera,2011,Ad Ab,117,15.04,3,,
800180001,Abrera,2011,PSC-PM,118,29.43,6,,
800180001,Abrera,2011,EU-IU,119,6.18,1,,
800180001,Abrera,2011,ICV-E,120,6.32,1,,
800180001,Abrera,2011,Esquerra-AM,121,4.56,0,,
800180001,Abrera,2011,PP,122,15.65,3,,
800180001,Abrera,2011,PxC,123,6.3,1,,
800180001,Abrera,2011,SI,124,0.87,0,,
800180001,Abrera,2015,ABRERA EN COMÚ,125,17.38,3,,
800180001,Abrera,2015,PxC,126,2.26,0,,
800180001,Abrera,2015,PP,127,7,1,,
800180001,Abrera,2015,CiU,128,5.92,1,,
800180001,Abrera,2015,C's,129,8.61,1,,
800180001,Abrera,2015,PSC-CP,130,28.6,6,,
800180001,Abrera,2015,ERC-AM,131,10.74,2,,
800180001,Abrera,2015,Ad Ab,132,18.32,3,,
800180001,Abrera,2019,ABRERA EN COMÚ-,133,9.12,1,,
800180001,Abrera,2019,ERC-AM,134,13.86,2,,
800180001,Abrera,2019,PP,135,3.28,0,,
800180001,Abrera,2019,JxCAT-JUNTS,136,3.28,0,,
800180001,Abrera,2019,PSC-CP,137,51.43,11,,
800180001,Abrera,2019,Ad'Ab,138,11.17,2,,
800180001,Abrera,2019,Cs,139,7.28,1,,
2500240003,Àger,1979,A.E. C.IND.,140,99.47,7,,
2500240003,Àger,1983,A.E. C.IND.,141,99.64,7,,
2500240003,Àger,1987,CiU,142,42.56,3,,
2500240003,Àger,1987,AIPN,143,54.31,4,,
2500240003,Àger,1991,CiU,144,52.18,4,,
2500240003,Àger,1991,PSC-PSOE,145,17.96,1,,
2500240003,Àger,1991,PP,146,28.4,2,,
2500240003,Àger,1995,PP,147,36.61,3,,
2500240003,Àger,1995,CIU,148,58.19,4,,
2500240003,Àger,1999,CIU,149,48.91,4,,
2500240003,Àger,1999,PP,150,41.89,3,,
2500240003,Àger,2003,PSC-PM,151,5.41,0,,
2500240003,Àger,2003,PP,152,11.08,1,,
2500240003,Àger,2003,CIU,153,40.54,3,,
2500240003,Àger,2003,IA-AM,154,40.27,3,,
2500240003,Àger,2007,IAAM,155,49.62,4,,
2500240003,Àger,2007,CIU,156,48.34,3,,
800950006,Argentona,2011,Agr.Ar.,157,5.19,1,,
